canonical_cited_author,raw_author_variants,n_raw_variants,n_articles_citing_author,n_reference_mentions,author_lineage_code,gilly_alignment,lineage_confidence,lineage_source,lineage_rationale,top_citing_article_gilly_category
F. Fischer,F. Fischer,1,38,100,sociocultural_dialogic_activity,fundamental,0.85,openai,"Fischer's extensive work on collaborative problem solving, CSCL, transactivity and mediated activity places her in sociocultural and activity-theoretical traditions that align closely with Gilly's emphasis on mediated, contextualized educational interactions.",context_sensitive_educational_psychology
O. Dickhauser,O. Dickhauser,1,38,81,motivation_self_regulation_identity,applied_mainstream,0.75,openai,"Dickhauser's studies on expectancies, need for cognition and performance certainty apply motivation and expectancy constructs to educational performance, reflecting an applied mainstream orientation rather than a primary institutional/interactional framing.",context_sensitive_educational_psychology
B. Rittle-Johnson,B. Rittle-Johnson,1,38,74,interactionist_constructivist_social_cognitive,fundamental,0.85,openai,"Rittle-Johnson's experimental and developmental research on concept learning, comparing examples and co-construction of mathematical understanding aligns with interactionist/post-Piagetian traditions that emphasize social interaction and conceptual change consistent with Gilly's fundamental concerns.",context_sensitive_educational_psychology
M. Scardamalia,M. Scardamalia,1,38,70,sociocultural_dialogic_activity,fundamental,0.85,openai,"Scardamalia's knowledge-building, CSCL and powerful learning environments work embodies sociocultural/dialogic activity traditions that foreground collective knowledge construction and contextualized educational practices central to Gilly's vision.",context_sensitive_educational_psychology
X. Liu,X. Liu,1,38,65,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Liu's research on academic self-concept, assessment conceptions and instructional context speaks to motivation and self-evaluation traditions applied within diverse classroom settings, making it context-sensitive but not primarily interactional/institutional.",context_sensitive_educational_psychology
D. Kuhn,D. Kuhn,1,38,63,interactionist_constructivist_social_cognitive,fundamental,0.85,openai,"Kuhn's influential work on argumentation, epistemic cognition and the social construction of understanding positions her within interactionist/constructivist traditions that treat dialogic interaction and conceptual development as core educational objects, resonant with Gilly's approach.",context_sensitive_educational_psychology
E. Fennema,E. Fennema,1,38,46,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Fennema's long-standing contributions to mathematics education, gender differences and classroom-based studies link her to didactics and subject-matter teaching research that is pedagogically contextual but not centered on Gilly-style institutional interaction theory.",context_sensitive_educational_psychology
J. Li,J. Li,1,38,46,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Cited work focuses on self-regulated learning, social-academic goals and measurement of learning conceptions in classroom contexts, indicating a tradition of motivation and SRL applied to educational settings rather than a primarily interactional or institutional theory.",context_sensitive_educational_psychology
K. Hau,K. Hau,1,38,46,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Research on frame-of-reference models, students' conceptions and assessment orientations positions Hau in the academic self-concept/motivation tradition applied to classroom contexts rather than an explicitly sociocultural or didactic school-interaction lineage.",context_sensitive_educational_psychology
M. Richardson,M. Richardson,1,38,39,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Work cited centers on academic self-concept, competence/value appraisals, transition and adjustment—core topics of motivation, emotion, and identity in educational psychology applied to school contexts.",context_sensitive_educational_psychology
L. M. Daniels,L. M. Daniels,1,37,62,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Citations cover attributions, achievement goals and achievement emotions (including teacher judgment effects), placing Daniels in the achievement-motivation and emotion/self-regulation tradition with contextual educational applications.",context_sensitive_educational_psychology
R. Azevedo,R. Azevedo,1,37,58,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Azevedo’s work on metacognition, SRL in computer-based environments and epistemic beliefs links strongly to self-regulation and metacognitive traditions applied within instructional contexts.",context_sensitive_educational_psychology
A. Helmke,A. Helmke,1,37,56,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Helmke’s emphasis on classroom differences, worked examples, instructional effects and the interplay of motivation/metacognition reflects a didactics and classroom-practice orientation focused on teaching/learning processes.",context_sensitive_educational_psychology
R. G. Craven,R. G. Craven,1,37,55,motivation_self_regulation_identity,applied_mainstream,0.75,openai,"Craven’s cited contributions concern self-concept, self-esteem and questionnaire validation for motivation toward science, indicating mainstream application of self-concept and motivation constructs in schooling.",context_sensitive_educational_psychology
S. Carey,S. Carey,1,37,50,interactionist_constructivist_social_cognitive,bridge_contextual,0.6,openai,Carey’s conceptual-development and conceptual-change research is rooted in constructivist developmental theory (post-Piagetian/theory-theory) about knowledge acquisition and conceptual restructuring relevant to classroom learning.,context_sensitive_educational_psychology
R. S. Lazarus,R. S. Lazarus,1,37,48,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Lazarus is cited for appraisal, coping and affective-state work applied to student emotion, stress and coping measures, situating him in emotion and self-regulation traditions imported into educational research.",context_sensitive_educational_psychology
W. Titz,W. Titz,1,37,39,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Titz’s use of control-value and related emotion/motivation frameworks (e.g., emotions towards mathematics, parental support and homework emotions) places him in motivation and achievement-emotion traditions in education.",context_sensitive_educational_psychology
E. Kikas,E. Kikas,1,36,178,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Kikas is cited for teacher perceptions, instructional influence on students’ explanations, assessment of learning strategies and inclusive practice—work centered on classroom practice and teaching effects.",context_sensitive_educational_psychology
W. Schnotz,W. Schnotz,1,36,148,didactics_classroom_knowledge_practices,applied_mainstream,0.8,openai,"Schnotz’s research on mental models, multimedia learning, and situational representations is a cognitive-instructional tradition focused on how instructional materials and representations shape learning.",applied_psychology_in_education
S. Lindblom-Ylanne,S. Lindblom-Ylanne,1,36,90,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Her work on approaches to learning, study orchestration and conceptions of learning connects directly to classroom and higher-education pedagogical practices and student learning strategies.",context_sensitive_educational_psychology
P. Onghena,P. Onghena,1,36,85,individual_differences_cognitive_achievement,applied_mainstream,0.8,openai,"Onghena’s empirical program on numerosity judgement, strategy use and adaptive expertise in mathematics aligns with cognitive-developmental and individual differences research in numerical cognition and achievement.",context_sensitive_educational_psychology
P. Light,P. Light,1,36,72,interactionist_constructivist_social_cognitive,fundamental,0.85,openai,"Light’s cited studies on classroom interaction, negotiation in classroom conversation and socio-cognitive interaction in conservation experiments place him in the social interactional/constructivist tradition that aligns closely with Gilly’s emphasis on contextualized educational interactions.",fundamental_contextualized_educational_interaction
N. Entwistle,N. Entwistle,1,36,65,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Entwistle’s body of work on approaches to learning, activating instruction and process-oriented instruction is central to pedagogical research on teaching methods and student learning in classroom settings.",context_sensitive_educational_psychology
P. Niemi,P. Niemi,1,36,65,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Niemi is cited for studies linking family background, preschool orientation and early reading development alongside metacognition and web-based learning, indicating an interdisciplinary developmental and ecological orientation.",context_sensitive_educational_psychology
K. R. Muis,K. R. Muis,1,36,62,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Muis is cited for metacognitive knowledge, epistemic/justification beliefs and measurement of SRL activities, placing her squarely in metacognition and self-regulated learning research in education.",context_sensitive_educational_psychology
R. E. Slavin,R. E. Slavin,1,36,60,intervention_instructional_design,bridge_contextual,0.8,openai,Slavin’s influential experimental and synthesis work on cooperative learning and classroom interventions aligns with an instructional-intervention tradition focused on designing and evaluating classroom treatments.,context_sensitive_educational_psychology
M. Prenzel,M. Prenzel,1,36,51,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Prenzel is cited for research on interest, motivation, and models of motivated self-directed learning (including application to science education), indicating a focus on motivation and self-directed learning within educational settings.",context_sensitive_educational_psychology
M. Zeidner,M. Zeidner,1,36,51,motivation_self_regulation_identity,applied_mainstream,0.7,openai,"Zeidner’s work on test anxiety, stress, and individual differences in achievement situates him in motivational and self-regulation research that is typically applied when brought into school contexts.",applied_psychology_in_education
M. L. Maehr,M. L. Maehr,1,36,49,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Maehr’s research on achievement motivation, interest and quality of classroom experience links motivation theory to contextualized classroom phenomena, making him a bridge between motivation theory and contextual studies.",context_sensitive_educational_psychology
M. E. P. Seligman,M. E. P. Seligman,1,36,46,motivation_self_regulation_identity,bridge_contextual,0.72,openai,"Seligman’s attributional and positive-psychology contributions (learned helplessness, optimism, wellbeing) are influential for students’ motivation and coping in educational settings rather than for classroom-interaction theorizing per se.",context_sensitive_educational_psychology
E. Wenger,E. Wenger,1,36,39,sociocultural_dialogic_activity,fundamental,0.9,openai,"Wenger’s communities-of-practice and participation framework foregrounds socially situated learning, aligning closely with Gilly’s emphasis on contextualised educational interactions and institutional practices.",fundamental_contextualized_educational_interaction
A. Field,A. Field,1,36,36,psychometrics_measurement_statistics,methodological,0.92,openai,A. Field (the statistics/measurement author cited in methodological contributions) is primarily a source for quantitative methods and assessment techniques used in EJPE studies.,context_sensitive_educational_psychology
R. M. Baron,R. M. Baron,1,36,36,social_representations_institutional_context,bridge_contextual,0.65,openai,"Baron’s cited work (justice beliefs, self-efficacy, family/institutional relations) maps onto social-psychological accounts of norms and institutional context that inform educational research without being centrally interactionist.",context_sensitive_educational_psychology
D. M. Mcinerney,D. M. Mcinerney,1,35,81,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"McInerney’s cross-cultural and ecological work on motivation, self-concept, and teacher identity places him in motivation/self-regulation traditions with a contextual bent rather than in purely interactionist theory.",context_sensitive_educational_psychology
Y. Yang,Y. Yang,1,35,56,psychometrics_measurement_statistics,methodological,0.8,openai,"Y. Yang is cited for CFA, multilevel modelling and measurement studies, indicating a primary lineage in psychometric and quantitative methodology.",context_sensitive_educational_psychology
X. Yang,X. Yang,1,35,50,developmental_family_peer_ecological,bridge_contextual,0.68,openai,"X. Yang’s contributions on executive functions, home activities and longitudinal links between parental involvement and child outcomes align with developmental and family-ecological perspectives on early learning contexts.",context_sensitive_educational_psychology
A. L. Duckworth,A. L. Duckworth,1,35,43,motivation_self_regulation_identity,applied_mainstream,0.9,openai,Duckworth’s grit/self-control research is a high-profile motivational/self-regulatory tradition frequently applied to predict educational outcomes in mainstream intervention and correlational studies.,applied_psychology_in_education
C. E. Weinstein,C. E. Weinstein,1,35,42,motivation_self_regulation_identity,bridge_contextual,0.78,openai,"Weinstein’s work on metacognition, study strategies and learning environments positions her within self-regulated learning and motivation traditions applied to classroom practice and instructional design.",context_sensitive_educational_psychology
D. Kaplan,D. Kaplan,1,35,42,psychometrics_measurement_statistics,methodological,0.75,openai,"Kaplan is cited for factorial reanalysis and measurement-model extensions as well as theoretical modelling of reading-math links, indicating a strong psychometric/methodological orientation.",context_sensitive_educational_psychology
G. Nagy,G. Nagy,1,35,39,individual_differences_cognitive_achievement,bridge_contextual,0.72,openai,"Nagy’s work on mental models, reading and cognition sits within individual-differences and cognitive-achievement traditions that are often interpreted in classroom and teacher-education contexts.",context_sensitive_educational_psychology
J. E. Jacobs,J. E. Jacobs,1,35,38,motivation_self_regulation_identity,bridge_contextual,0.74,openai,"Jacobs’ developmental studies linking reading achievement, self-concept and interest identify her with motivation and self-system research applied to educational development.",context_sensitive_educational_psychology
E. L. Leggett,E. L. Leggett,1,35,35,motivation_self_regulation_identity,applied_mainstream,0.7,openai,Leggett’s development of coping and failure-related scales and studies of goal orientations place her in applied motivational/self-regulation measurement and intervention traditions.,context_sensitive_educational_psychology
H. Timperley,H. Timperley,1,35,35,didactics_classroom_knowledge_practices,bridge_contextual,0.76,openai,"Timperley’s work on teacher coaching, feedback and professional learning is rooted in classroom practice and instructional improvement traditions that address interactional processes in schooling.",context_sensitive_educational_psychology
A. Valle,A. Valle,1,34,127,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Valle’s research on self-regulation, autonomy and first-year achievement integrates motivational and self-regulated learning perspectives within contextualised educational research.",context_sensitive_educational_psychology
J. Valsiner,J. Valsiner,1,34,89,sociocultural_dialogic_activity,fundamental,0.92,openai,"Valsiner’s cultural-historical and theoretical psychology scholarship (Vygotskian influence, contextual units of analysis) strongly aligns with Gilly’s emphasis on mediated, contextualised educational interactions.",theoretical_reflexive_psychology_of_education
M. Vauras,M. Vauras,1,34,79,interactionist_constructivist_social_cognitive,fundamental,0.87,openai,"Vauras’ extensive work on peer interaction, shared metacognition and teacher–student dynamics places him in interactionist/constructivist traditions central to studying contextualised educational situations.",context_sensitive_educational_psychology
W. Blum,W. Blum,1,34,76,didactics_classroom_knowledge_practices,bridge_contextual,0.85,openai,"Blum’s mathematics-education research on classroom discourse, instructional materials and teacher beliefs is squarely in the didactics and classroom-practice lineage connected to contextualised learning processes.",context_sensitive_educational_psychology
G. W. Ladd,G. W. Ladd,1,34,73,developmental_family_peer_ecological,bridge_contextual,0.85,openai,"Ladd’s empirical focus on peer relations, social networks, loneliness and school adjustment places him in developmental and peer-ecological traditions that are context-sensitive to education but not primarily in the interactionist/mediational theoretical lineage emphasized by Gilly.",context_sensitive_educational_psychology
J. Chen,J. Chen,1,34,64,didactics_classroom_knowledge_practices,bridge_contextual,0.6,openai,"Chen’s work as cited (assessment across contexts, arithmetic strategy choice, classroom error-handling and instructional behaviours) aligns with classroom didactics and subject-matter teaching/practice, making it educationally contextual though not explicitly part of Gilly’s foundational interactional program.",context_sensitive_educational_psychology
A. Blaye,A. Blaye,1,34,59,interactionist_constructivist_social_cognitive,fundamental,0.9,openai,"Blaye’s experimental work on socio-cognitive confrontation, peer tutoring effects and co-construction of procedures fits squarely in Piagetian/post‑Piagetian interactionist constructivist traditions that closely match Gilly’s emphasis on contextualized interaction.",fundamental_contextualized_educational_interaction
C. J. Lonigan,C. J. Lonigan,1,34,57,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,"Lonigan’s citations concern emergent literacy, phonological awareness and predictors of reading—topics rooted in cognitive/developmental individual-differences work applied to educational outcomes rather than interactional or institutional theory.",context_sensitive_educational_psychology
D. Zhang,D. Zhang,1,34,56,individual_differences_cognitive_achievement,applied_mainstream,0.6,openai,"Zhang’s cited contributions span assessment item effects, strategy development in arithmetic, temperament and intervention for preschoolers, indicating a mixed but overall cognitive/achievement and applied instructional orientation.",context_sensitive_educational_psychology
C. Huang,C. Huang,1,34,53,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Huang is cited primarily for work on academic self‑concept, self‑efficacy, emotions and related measurement—placing her in motivation and identity traditions commonly used in applied educational research.",context_sensitive_educational_psychology
J. Belsky,J. Belsky,1,34,53,developmental_family_peer_ecological,bridge_contextual,0.9,openai,"Belsky’s influential research on parenting, maternal scaffolding and early social‑cognitive development situates him in developmental and family/peer ecological traditions that foreground context but are not principally classroom-focused interactionist theory.",context_sensitive_educational_psychology
G. V. Caprara,G. V. Caprara,1,34,50,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Caprara’s work on self‑efficacy, teachers’ and parents’ beliefs, moral atmosphere and links to behaviour aligns with motivation/self‑regulation and personality approaches applied to educational contexts.",context_sensitive_educational_psychology
R. K. Wagner,R. K. Wagner,1,34,48,individual_differences_cognitive_achievement,applied_mainstream,0.9,openai,"Wagner is cited for phonemic awareness, phonological working memory and reading development—classical cognitive/achievement research applied to literacy instruction.",applied_psychology_in_education
M. C. Linn,M. C. Linn,1,34,45,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Linn’s focus on science education, process‑based instruction and problem‑solving strategies places her in didactics and classroom knowledge/practice scholarship that informs contextual instructional design.",context_sensitive_educational_psychology
S. Lichtenfeld,S. Lichtenfeld,1,34,44,motivation_self_regulation_identity,applied_mainstream,0.7,openai,"Lichtenfeld’s cited work on assessment of learning strategies, achievement emotions and interventions indicates a motivation/self‑regulation orientation with applied measurement and intervention emphases.",context_sensitive_educational_psychology
R. Schwarzer,R. Schwarzer,1,34,40,psychometrics_measurement_statistics,methodological,0.85,openai,"Schwarzer is often invoked for measurement instruments (e.g., self‑efficacy scales) and related constructs, so his influence is primarily methodological/measurement in educational studies.",context_sensitive_educational_psychology
J. D. Bransford,J. D. Bransford,1,34,39,intervention_instructional_design,bridge_contextual,0.85,openai,"Bransford’s work on powerful learning environments, text processing and instructional implications situates him in cognitive‑science-informed instructional design and learning environment research rather than purely interactional institutional theory.",context_sensitive_educational_psychology
F. Butera,F. Butera,1,33,182,social_representations_institutional_context,fundamental,0.85,openai,"Butera’s studies of social influence, epistemic dependence and social transmission of knowledge align with social‑representations and institutional/social‑psychology traditions that speak directly to socio‑institutional conditions of learning emphasized by Gilly.",applied_psychology_in_education
V. Donche,V. Donche,1,33,148,didactics_classroom_knowledge_practices,bridge_contextual,0.85,openai,"Donche’s research on approaches to learning, emotions in group work and course‑specific study behaviours in higher education aligns with classroom practice and pedagogical didactics in contextualized educational settings.",context_sensitive_educational_psychology
C. Pontecorvo,C. Pontecorvo,1,33,117,sociocultural_dialogic_activity,fundamental,0.9,openai,"Pontecorvo’s extensive work on classroom conversation, negotiation of knowledge and dialogic writing practices places him in Vygotskian/cultural‑historical dialogic traditions that closely match Gilly’s emphasis on mediated classroom interactions.",fundamental_contextualized_educational_interaction
K. Struyven,K. Struyven,1,33,84,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Struyven’s empirical work on approaches to learning, case‑based learning and peer tutoring in higher education identifies him with applied didactics and classroom practice research oriented to instructional design.",context_sensitive_educational_psychology
A. S. Yeung,A. S. Yeung,1,33,65,motivation_self_regulation_identity,applied_mainstream,0.85,openai,"Yeung’s contributions on academic self‑concept, the internal/external frame of reference and expectancy formation are squarely within motivation, self‑concept and identity traditions applied to educational outcomes.",context_sensitive_educational_psychology
A. Furnham,A. Furnham,1,33,64,individual_differences_cognitive_achievement,applied_mainstream,0.7,openai,"Furnham’s broad applied research on personality, occupational stress, social maladjustment and related individual differences positions him in individual‑differences traditions that are used in applied educational studies.",applied_psychology_in_education
M. Csikszentmihalyi,M. Csikszentmihalyi,1,33,64,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Csikszentmihalyi’s seminal work on flow, interest and the quality of experience in classrooms grounds him in motivation and engagement traditions that inform contextualized analyses of classroom experience without being narrowly interactionist/institutional.",context_sensitive_educational_psychology
R. H. Stupnisky,R. H. Stupnisky,1,33,63,motivation_self_regulation_identity,applied_mainstream,0.85,openai,"Stupnisky's cited work (achievement goals, attributions, achievement emotions; many context-sensitive and applied EJPE citations) places him in motivational and self-regulation traditions rather than interactional or institutional foundations.",context_sensitive_educational_psychology
C. Hulme,C. Hulme,1,33,61,individual_differences_cognitive_achievement,applied_mainstream,0.9,openai,"Hulme's contributions to phonological working memory, reading development and orthographic effects align with cognitive/individual-differences research on literacy and achievement used in applied educational studies.",context_sensitive_educational_psychology
R. C. Anderson,R. C. Anderson,1,33,61,didactics_classroom_knowledge_practices,bridge_contextual,0.7,openai,"Anderson's work on text comprehension, text processing and the role of formal classroom settings connects cognitive reading research to classroom instructional contexts, fitting didactic/classroom knowledge traditions that bridge cognition and contextual practice.",context_sensitive_educational_psychology
K. Rakoczy,K. Rakoczy,1,33,55,interactionist_constructivist_social_cognitive,bridge_contextual,0.8,openai,"Rakoczy's studies on peer feedback, self-monitoring and teacher–student interactions emphasise social co-construction and socio-cognitive processes in learning, consistent with interactionist/constructivist lineages.",context_sensitive_educational_psychology
R. Martin,R. Martin,1,33,49,sociocultural_dialogic_activity,fundamental,0.8,openai,"Martin's cited work (peer imitation, teacher scaffolding, epistemic dependence) foregrounds dialogic, mediated classroom processes and adult/peer scaffolding characteristic of Vygotskian/activity-theoretical traditions that align with Gilly's fundamental focus.",context_sensitive_educational_psychology
E. Leskinen,E. Leskinen,1,33,45,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Leskinen's mix of reading development, self-system research and classroom-organization effects points to developmental and ecological perspectives (family/peers/classroom) rather than purely psychometric or curricular traditions.",context_sensitive_educational_psychology
L. S. Fuchs,L. S. Fuchs,1,33,42,intervention_instructional_design,applied_mainstream,0.85,openai,"Fuchs' work on instructional approaches, inclusive education and evaluated self-regulation interventions situates her in instructional design and intervention research used in applied educational practice.",context_sensitive_educational_psychology
S. Wang,S. Wang,1,33,41,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Wang's cited outputs (instructional support, teacher expectations, profiles of learning opportunities) focus on classroom processes and instructional conditions, placing her in didactics and classroom-practice traditions.",context_sensitive_educational_psychology
M. Janosz,M. Janosz,1,33,39,developmental_family_peer_ecological,bridge_contextual,0.8,openai,"Janosz's longitudinal studies of dropout risk, engagement and the role of personal, family and school factors align with developmental and ecological traditions concerned with pathways and contextual influences on educational trajectories.",context_sensitive_educational_psychology
D. Wechsler,D. Wechsler,1,33,38,psychometrics_measurement_statistics,methodological,0.95,openai,"Wechsler's contributions cited in EJPE concern performance testing and strategy analysis (WISC-related and assessment methods), squarely placing him in psychometrics and measurement methodology.",applied_psychology_in_education
E. Erdfelder,E. Erdfelder,1,33,34,individual_differences_cognitive_achievement,applied_mainstream,0.6,openai,"Erdfelder's cited work mixes experimental studies of cognitive processes (memory, task switching, belief validation) and applied cognitive constructs, suggesting a cognitive/individual-differences lineage rather than a primarily institutional or sociocultural one.",applied_psychology_in_education
L. S. Fidell,L. S. Fidell,1,33,33,psychometrics_measurement_statistics,methodological,0.85,openai,"Fidell is cited for factor-analytic work and questionnaire validation (e.g., R-SPQ-2F), indicating a clear methodological/measurement orientation in the educational literature.",context_sensitive_educational_psychology
D. Gijbels,D. Gijbels,1,32,86,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Gijbels' research on approaches to learning, authentic collaborative problem-based courses and peer tutoring connects directly to instructional design, classroom practices and pedagogical strategies.",context_sensitive_educational_psychology
P. Stanat,P. Stanat,1,32,74,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Stanat is cited for work on metacognitive knowledge, teachers’ diagnostic skills and mental model construction from instructional materials, aligning with classroom instruction and didactic research.",context_sensitive_educational_psychology
N. C. Jordan,N. C. Jordan,1,32,60,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,"Jordan's research on counting, strategic competence and numerical cognition situates her in cognitive-developmental and individual-differences traditions focused on mathematical achievement.",applied_psychology_in_education
E. Diener,E. Diener,1,32,54,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Diener's work on affect, well-being and psychological adjustment as applied to school contexts (emotion, mood, teacher burnout implications) fits the motivation/emotion and identity-related tradition in educational research.",context_sensitive_educational_psychology
G. Buttner,G. Buttner,1,32,51,motivation_self_regulation_identity,applied_mainstream,0.7,openai,"Buttner is cited for metacognitive assessment, self-regulatory teaching and the interplay of competence and affect—indicating a focus on self-regulation, motivation and affect in education.",context_sensitive_educational_psychology
M. Salanova,M. Salanova,1,32,51,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Salanova's cited work on teacher burnout, collective efficacy, hope and coping in educational contexts places her in motivational and wellbeing literatures applied to schooling and teacher/student outcomes.",context_sensitive_educational_psychology
R. Lazarides,R. Lazarides,1,32,49,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Lazarides' studies on academic self-concept, engagement, mastery goals and classroom effects connect motivation and identity research tightly to classroom contexts, making her a contextualised motivation scholar.",context_sensitive_educational_psychology
Y. Jiang,Y. Jiang,1,32,46,sociocultural_dialogic_activity,fundamental,0.75,openai,"Jiang is cited for Vygotskian-perspective work on emotion, parent–child communication and classroom mediation, aligning with sociocultural, dialogic and activity-theoretical traditions central to Gilly's fundamental orientation.",context_sensitive_educational_psychology
A. Robitzsch,A. Robitzsch,1,32,45,psychometrics_measurement_statistics,methodological,0.85,openai,"Robitzsch is primarily cited for measurement and methodological contributions (e.g., item simplification, scale work, imputation/IRT methods) so his intellectual lineage is statistical/psychometric and his relevance to Gilly is methodological.",context_sensitive_educational_psychology
J. G. Greeno,J. G. Greeno,1,32,44,interactionist_constructivist_social_cognitive,fundamental,0.7,openai,"Greeno’s situated cognition and problem-solving work foregrounds cognition-in-context and learning through task interaction, aligning with interactionist/socio-constructivist traditions central to Gilly’s focus on contextualized educational interactions.",context_sensitive_educational_psychology
R. Rosenthal,R. Rosenthal,1,32,44,social_representations_institutional_context,bridge_contextual,0.75,openai,"Rosenthal’s expectancy and social-influence studies examine interpersonal and institutional effects (examiner behaviour, Pygmalion effects) that inform contextualized classroom interactions though coming from social-psych experimental traditions.",context_sensitive_educational_psychology
C. Senecal,C. Senecal,1,32,43,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Sénécal’s work on self-determination, persistence, procrastination and motivational models places her in motivation and self-regulation traditions that are applied in contextual educational studies cited in EJPE.",context_sensitive_educational_psychology
L. Goossens,L. Goossens,1,32,43,developmental_family_peer_ecological,bridge_contextual,0.75,openai,"Goossens is cited for research on adolescent attachment, loneliness and peer relations—topics anchored in developmental and ecological approaches to social adjustment in school contexts.",context_sensitive_educational_psychology
M. T. Greenberg,M. T. Greenberg,1,32,42,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Greenberg’s extensive work on early intervention, parent–child interaction and child care quality situates him in developmental and family/peer ecological traditions relevant to contextualized educational settings.",context_sensitive_educational_psychology
J. G. Wellborn,J. G. Wellborn,1,32,40,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Wellborn’s research on coping with failure, goal orientations and self-regulation places him within motivation and self-regulated learning traditions used to interpret classroom coping and engagement in EJPE citations.",context_sensitive_educational_psychology
M. Carr,M. Carr,1,32,38,interactionist_constructivist_social_cognitive,fundamental,0.7,openai,Carr’s engagement with Piagetian constructivism and mediated learning links her to interactionist/constructivist approaches that directly resonate with Gilly’s emphasis on mediated educational interactions.,context_sensitive_educational_psychology
W. J. Mckeachie,W. J. Mckeachie,1,32,37,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"McKeachie’s work on studying, teaching, metacognition and instructional practice aligns him with classroom didactics and teaching–learning practices rather than core sociocultural theory.",context_sensitive_educational_psychology
K. T. Hau,K. T. Hau,1,32,35,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"K. T. Hau’s studies on academic self-concept, identity salience and motivation place him in motivation and identity literatures that EJPE uses to analyze contextual classroom effects.",context_sensitive_educational_psychology
J. L. Arbuckle,J. L. Arbuckle,1,32,34,psychometrics_measurement_statistics,methodological,0.9,openai,"Arbuckle (author of AMOS/SEM resources) is cited for factor structure and psychometric analyses, indicating a clear methodological/measurement lineage.",context_sensitive_educational_psychology
A. Buchner,A. Buchner,1,32,33,individual_differences_cognitive_achievement,applied_mainstream,0.65,openai,"Buchner’s experimental cognitive work on memory, task switching and strategic processing is anchored in cognitive/achievement research often applied to classroom tasks in EJPE.",applied_psychology_in_education
K. A. Bollen,K. A. Bollen,1,32,33,psychometrics_measurement_statistics,methodological,0.95,openai,Kenneth Bollen is a canonical figure in SEM and measurement; EJPE uses his methods literature for statistical-modeling and validation tasks.,context_sensitive_educational_psychology
L. S. Aiken,L. S. Aiken,1,32,33,developmental_family_peer_ecological,bridge_contextual,0.4,openai,"The Aiken cited in EJPE appears in family/day-care and classroom-autonomy contexts, suggesting developmental/ ecological work, but the author identity is ambiguous so the coding is conservative.",applied_psychology_in_education
B. G. Tabachnick,B. G. Tabachnick,1,32,32,psychometrics_measurement_statistics,methodological,0.95,openai,"Tabachnick is widely known for multivariate statistics texts and is cited in EJPE for statistical/methodological reasons, placing him squarely in measurement/statistics traditions.",context_sensitive_educational_psychology
G. W. Cheung,G. W. Cheung,1,32,32,psychometrics_measurement_statistics,methodological,0.9,openai,Cheung’s published work on measurement invariance and psychometrics is used in EJPE for methodological and measurement-invariance analyses.,context_sensitive_educational_psychology
P. Pansu,P. Pansu,1,31,171,social_representations_institutional_context,bridge_contextual,0.8,openai,"Pansu’s research on scholastic judgments, attributions and normative clearsightedness addresses school norms, teacher judgments and institutionalized representations of ability, situating him in social-representations/institutional traditions.",context_sensitive_educational_psychology
